0,256,159,257,187,256,159,257,187
0,282,138,282,341,282,138,282,341
0,232,226,239,299,232,226,239,299
0,128,236,130,199,128,236,130,199
0,263,93,277,172,263,93,277,172
0,232,135,237,128,232,135,237,128
0,202,316,208,289,202,316,208,289
0,202,316,216,262,202,316,216,262
0,122,330,133,366,122,330,133,366
0,386,251,386,269,386,251,386,269
0,226,177,232,372,226,177,232,372
-35,226,177,232,372,310,68,319,422
35,310,68,319,422,226,177,232,372
0,310,68,319,422,310,68,319,422
0,284,64,297,382,284,64,297,382
0,179,413,186,290,179,413,186,290
0,220,391,232,135,220,391,232,135
0,386,269,387,233,386,269,387,233
-3,386,269,387,233,202,0,386,269
3,386,269,202,0,387,233,386,269
0,386,269,202,0,386,269,202,0
0,237,128,256,159,237,128,256,159
0,386,251,387,233,386,251,387,233
0,263,306,279,438,263,306,279,438
0,198,179,202,316,198,179,202,316
0,220,391,226,177,220,391,226,177
0,235,171,252,165,235,171,252,165
-34,235,171,252,165,256,159,262,223
0,198,179,216,262,198,179,216,262
60,198,179,216,262,371,341,372,257
55,198,179,216,262,223,213,235,171
-60,371,341,372,257,198,179,216,262
0,371,341,372,257,371,341,372,257
-5,371,341,372,257,223,213,235,171
0,164,389,179,413,164,389,179,413
-55,223,213,235,171,198,179,216,262
5,223,213,235,171,371,341,372,257
0,223,213,235,171,223,213,235,171
34,256,159,262,223,235,171,252,165
0,256,159,262,223,256,159,262,223
0,340,279,371,341,340,279,371,341
0,279,438,282,138,279,438,282,138
0,237,128,257,187,237,128,257,187
